MutationType	MESO_001_T	MESO_002_T1	MESO_002_T2	MESO_003_T1	MESO_003_T2	MESO_004_T	MESO_005_T	MESO_006_T	MESO_007_T	MESO_008_T1	MESO_008_T2	MESO_009_T	MESO_040_T	MESO_041_T1	MESO_041_T2	MESO_042_T1	MESO_042_T2	MESO_043_T	MESO_044_T	MESO_045_T	MESO_046_T	MESO_047_T	MESO_048_T1	MESO_048_T2	MESO_049_T	MESO_050_T	MESO_051_T	MESO_052_T1	MESO_052_T2	MESO_053_T	MESO_054_T	MESO_055_T	MESO_056_T2	MESO_057_T1	MESO_057_T2	MESO_058_T1	MESO_058_T2	MESO_059_T1	MESO_059_T2	MESO_060_T	MESO_061_T	MESO_062_T1	MESO_062_T2	MESO_063_T	MESO_064_T	MESO_065_T	MESO_066_T	MESO_067_T	MESO_068_T	MESO_069_T	MESO_070_T	MESO_071_T	MESO_072_T	MESO_073_T	MESO_076_T	MESO_090_T	MESO_093_T	MESO_010_T	MESO_011_T	MESO_012_T	MESO_013_T	MESO_014_T	MESO_015_T	MESO_017_T	MESO_018_T	MESO_019_T	MESO_020_T	MESO_021_T	MESO_022_T	MESO_023_T	MESO_024_T	MESO_025_T	MESO_026_T	MESO_027_T	MESO_028_T	MESO_029_T	MESO_030_T	MESO_031_T	MESO_032_T	MESO_033_T	MESO_034_T	MESO_035_T	MESO_037_T	MESO_038_T	MESO_039_T	MESO_074_T	MESO_075_T	MESO_077_T	MESO_078_T	MESO_079_T	MESO_080_T	MESO_081_T	MESO_082_T	MESO_083_T	MESO_084_T	MESO_085_T	MESO_086_T	MESO_087_T	MESO_088_T	MESO_089_T	MESO_091_T	MESO_092_T	MESO_094_T1	MESO_094_T2	MESO_095_T	MESO_097_T	MESO_098_T	MESO_099_T	MESO_100_T	MESO_101_T	MESO_102_T	MESO_104_T	MESO_105_T	MESO_106_T	MESO_107_T	MESO_108_T	MESO_109_T	MESO_110_T	MESO_111_T	MESO_112_T	MESO_113_T	MESO_116_T	MESO_117_T	MESO_118_T	MESO_119_T	MESO_120_T	MESO_121_T	MESO_122_T	MESO_123_T	MESO_124_T
0:homdel:0-100kb	0	0	0	0	0	0	1	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	1	0	0	9	0	0	0	3	2	0	1	0	1	1	1	2	0	1	1	1	0	0	3	4	1	0	1	2	1	8	0	0	1	0	0	0	0	0	0	3	0	4	0	1	1	1	0	0	9	1	9	0	1	0	1	0	6	0	0	1	0	6	1	0	1	1	0	0	0	4	3	0
0:homdel:100kb-1Mb	1	6	5	2	2	4	4	4	1	5	4	0	12	6	4	3	2	0	0	2	21	0	9	2	1	0	17	1	28	34	3	0	4	3	3	2	0	0	0	0	4	1	3	4	19	1	2	2	4	2	11	4	11	0	0	0	1	10	6	3	7	2	4	19	5	14	12	1	5	5	5	22	3	10	9	11	5	3	5	4	3	5	5	9	4	7	0	1	15	5	2	3	9	4	4	1	2	13	13	4	3	4	4	11	11	4	1	18	0	14	6	2	4	2	0	7	9	2	18	2	12	6	2	24	11	8	8	6	10	7
0:homdel:>1Mb	19	12	8	1	1	5	13	10	0	3	2	3	16	24	12	5	6	8	4	2	26	4	13	0	7	3	21	2	40	40	6	4	15	11	12	0	2	1	0	8	3	0	1	1	14	2	12	1	24	4	7	12	9	7	3	2	5	14	10	3	16	1	13	18	15	5	11	8	10	25	2	25	7	15	12	6	9	7	5	7	13	29	9	29	23	2	0	2	26	19	12	1	16	4	10	5	5	14	12	5	4	5	29	14	35	9	7	21	4	13	1	0	9	6	0	21	10	6	35	0	14	8	5	27	17	9	7	6	11	8
1:LOH:0-100kb	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	3	1	1	0	0	0	1	0	0	1	0	4	0	2	0	1	0	0	0	0	0	1	1	1	1	1	1	0	0	1	2	3	0	0	1	0	0	2	4	1	1	0	0	1	0	0	1	2	2	1	1	0	0	0	2	0	2	2	6	0	2	0	0	0	0	0	1	0	1	1	0	0	0	2	1	2	0	2	0	0
1:LOH:100kb-1Mb	0	3	7	1	2	11	4	1	25	5	14	3	14	3	7	1	0	0	8	6	17	1	6	12	1	0	5	0	18	27	3	2	10	2	2	3	0	0	0	2	6	4	4	5	10	2	2	1	6	9	8	0	5	1	0	0	3	6	2	4	15	8	5	17	4	15	15	1	10	4	4	8	6	4	6	8	6	7	17	11	11	28	8	10	12	9	1	1	15	6	13	2	7	6	8	4	3	19	8	6	2	6	13	12	9	5	5	46	6	20	19	4	8	2	10	0	10	0	9	0	29	11	4	27	28	22	8	11	3	7
1:LOH:1Mb-10Mb	0	4	11	8	11	18	2	14	51	21	53	3	7	9	8	3	4	0	9	8	17	4	5	11	4	0	14	1	22	40	11	2	8	6	6	1	0	0	0	2	17	9	9	5	18	11	4	5	18	24	9	13	8	8	0	0	11	11	11	4	14	3	11	26	7	12	16	9	24	9	7	31	10	12	14	17	11	4	17	9	5	84	10	7	27	7	2	2	35	18	8	4	10	5	11	2	10	32	24	22	7	5	25	16	13	11	1	32	4	20	15	5	16	0	24	3	6	3	30	3	31	12	6	29	34	32	14	15	8	13
1:LOH:10Mb-40Mb	4	14	20	39	43	20	22	25	3	6	13	10	29	18	16	21	21	16	33	24	30	18	16	5	13	14	29	13	34	34	18	24	32	33	33	25	13	10	11	17	19	29	29	2	42	21	22	19	24	52	26	34	25	26	15	11	15	22	25	16	35	6	24	33	29	17	25	25	22	22	5	34	18	22	33	23	22	21	39	21	20	57	26	32	41	23	6	8	30	35	32	20	33	12	21	12	24	42	28	33	23	11	22	28	21	30	6	45	0	36	18	5	30	17	13	17	28	23	35	5	59	35	17	41	37	34	35	29	25	31
1:LOH:>40Mb	0	27	27	22	22	27	17	20	0	1	1	22	24	26	25	24	24	28	29	29	21	29	22	1	27	28	20	28	16	15	28	27	26	23	21	30	27	27	28	28	26	28	27	2	21	27	27	28	25	17	28	23	27	18	29	30	22	27	23	29	21	5	24	22	22	15	22	22	28	18	8	18	27	24	22	20	21	28	24	26	23	12	17	15	20	25	0	9	17	21	22	28	21	4	24	13	27	22	23	19	30	10	22	26	16	21	8	19	0	22	9	4	19	27	0	17	24	24	14	8	20	21	25	16	20	24	25	28	23	20
2:LOH:0-100kb	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	2	0	0	0	0	0	0	1	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	4	0	0	0	0	0	0	0	0	0	0	1	0	1	1	3	0	3	0	1
2:LOH:100kb-1Mb	0	0	7	3	2	0	0	1	258	7	36	0	0	0	0	0	0	0	11	6	1	3	0	61	0	0	1	0	5	0	0	3	0	0	0	1	0	0	0	0	4	0	0	4	0	0	0	0	1	1	1	0	0	1	0	0	0	3	5	2	5	6	4	3	4	8	4	3	4	2	0	4	2	6	7	6	1	1	6	5	7	11	4	3	3	7	1	1	7	4	6	0	3	7	2	1	2	17	8	10	2	1	3	8	3	3	5	20	6	2	4	0	4	0	51	1	4	7	7	1	12	4	3	2	4	4	4	2	5	6
2:LOH:1Mb-10Mb	0	1	2	0	1	0	2	1	123	26	82	1	0	0	0	0	0	0	4	4	1	0	0	82	0	0	0	0	3	0	1	2	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	1	7	1	5	12	7	5	3	11	4	5	1	2	17	6	3	1	4	6	8	6	5	6	12	11	3	3	2	1	2	1	1	16	2	1	2	6	6	4	4	12	7	4	3	7	4	6	4	10	6	8	10	2	4	2	6	0	112	0	7	2	9	9	7	1	2	3	6	3	4	2	5	9
2:LOH:10Mb-40Mb	1	1	0	3	3	0	1	2	1	11	18	3	0	0	1	1	0	0	1	1	0	0	0	17	2	0	0	0	1	0	0	0	0	2	2	1	0	0	0	0	7	0	0	16	0	0	0	0	0	0	3	0	0	3	0	0	3	0	0	0	1	12	0	3	1	14	0	1	0	3	19	2	1	2	1	0	1	0	1	0	1	1	0	3	1	0	6	3	0	3	0	1	0	7	0	5	0	2	0	1	0	6	2	2	0	4	6	1	12	0	10	5	0	0	14	0	2	2	5	16	0	2	0	0	0	0	0	0	2	0
2:LOH:>40Mb	5	0	1	0	0	0	1	1	0	7	0	4	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	6	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	5	0	0	0	6	1	2	0	1	8	0	0	1	1	0	2	0	0	0	0	0	1	0	0	1	6	4	0	2	0	2	0	8	0	8	0	1	0	0	0	6	0	0	0	0	9	2	7	1	4	1	0	0	0	1	1	1	0	7	0	0	0	0	1	0	0	0	1	0
3-4:LOH:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	1	2	0	1	0	1	0	0	0	0	0
3-4:LOH:100kb-1Mb	0	1	3	0	0	0	0	0	26	0	1	1	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	4	1	1	3	8	1	0	0	2	8	0	1	0	0	1	1	0	1	2	0	2	3	1	1	0	6	0	0	1	0	0	1	6	2	2	0	2	2	0	0	5	2	1	1	0	6	1	6	0	3	4	1	0	20	0	1	0	0	6	2	2	2	2	1	3	1	1	0	0
3-4:LOH:1Mb-10Mb	1	0	0	1	1	0	0	0	19	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	8	1	0	1	2	8	0	2	1	0	2	3	0	1	1	1	1	2	0	1	0	2	2	1	2	0	1	0	3	2	0	0	0	0	3	1	6	0	2	1	2	17	2	8	0	5	9	1	0	23	0	1	0	0	7	2	3	2	2	1	2	1	1	0	0
3-4:LOH:10Mb-40Mb	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	8	0	5	0	3	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-4:LOH:>40Mb	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
5-8:LOH:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1	0	0	0	0	0	2	1	0	0	0	2	0	0	0	1	1	0	3	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	1	2	1	1	1	1	0	0	0	0	0
