MutationType	MESO_001_T	MESO_002_T1	MESO_002_T2	MESO_003_T1	MESO_003_T2	MESO_004_T	MESO_005_T	MESO_006_T	MESO_007_T	MESO_008_T1	MESO_008_T2	MESO_009_T	MESO_040_T	MESO_041_T1	MESO_041_T2	MESO_042_T1	MESO_042_T2	MESO_043_T	MESO_044_T	MESO_045_T	MESO_046_T	MESO_047_T	MESO_048_T1	MESO_048_T2	MESO_049_T	MESO_050_T	MESO_051_T	MESO_052_T1	MESO_052_T2	MESO_053_T	MESO_054_T	MESO_055_T	MESO_056_T2	MESO_057_T1	MESO_057_T2	MESO_058_T1	MESO_058_T2	MESO_059_T1	MESO_059_T2	MESO_060_T	MESO_061_T	MESO_062_T1	MESO_062_T2	MESO_063_T	MESO_064_T	MESO_065_T	MESO_066_T	MESO_067_T	MESO_068_T	MESO_069_T	MESO_070_T	MESO_071_T	MESO_072_T	MESO_073_T	MESO_076_T	MESO_090_T	MESO_093_T	MESO_010_T	MESO_011_T	MESO_012_T	MESO_013_T	MESO_014_T	MESO_015_T	MESO_017_T	MESO_018_T	MESO_019_T	MESO_020_T	MESO_021_T	MESO_022_T	MESO_023_T	MESO_024_T	MESO_025_T	MESO_026_T	MESO_027_T	MESO_028_T	MESO_029_T	MESO_030_T	MESO_031_T	MESO_032_T	MESO_033_T	MESO_034_T	MESO_035_T	MESO_037_T	MESO_038_T	MESO_039_T	MESO_074_T	MESO_075_T	MESO_077_T	MESO_078_T	MESO_079_T	MESO_080_T	MESO_081_T	MESO_082_T	MESO_083_T	MESO_084_T	MESO_085_T	MESO_086_T	MESO_087_T	MESO_088_T	MESO_089_T	MESO_091_T	MESO_092_T	MESO_094_T1	MESO_094_T2	MESO_095_T	MESO_097_T	MESO_098_T	MESO_099_T	MESO_100_T	MESO_101_T	MESO_102_T	MESO_104_T	MESO_105_T	MESO_106_T	MESO_107_T	MESO_108_T	MESO_109_T	MESO_110_T	MESO_111_T	MESO_112_T	MESO_113_T	MESO_116_T	MESO_117_T	MESO_118_T	MESO_119_T	MESO_120_T	MESO_121_T	MESO_122_T	MESO_123_T	MESO_124_T
5-8:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1	0	0	0	5	4	0	0	1	0	0	4	0	5	3	10	15	0	0	5	0	0	11	0	6	0	1	0	0	1	0	0	9	0	0	0	0	6	1	2	0	6	15	9	0	0	0	0	0	15	0	1	0	0	4	0	1	3	8	2	17	1	1	0	5
9+:LOH:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	2	1	0	0	0	0	0	5	1	3	1	2	0	1	1	3	0	1	1	0	3	0	0	0	0	1	0	1	2	0	0	0	0	5	1	2	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	1	2	0	3	0	1	1	1	1	1
9+:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0
9+:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
9+:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:het:0-100kb	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:het:100kb-1Mb	0	1	0	2	4	3	4	0	2	4	7	0	4	3	1	0	1	0	1	0	0	2	0	2	0	0	0	0	5	1	0	0	0	1	1	0	0	0	0	0	2	0	0	2	2	0	0	0	0	25	1	1	0	1	0	0	2	0	0	0	5	1	2	2	0	4	1	0	1	1	2	0	0	2	1	0	0	1	0	0	1	27	2	0	0	1	1	0	6	0	1	2	0	0	4	0	2	0	5	20	0	0	0	0	1	0	1	0	0	2	1	0	0	0	7	0	1	1	3	3	1	1	0	2	1	2	3	1	1	0
2:het:1Mb-10Mb	0	6	5	5	2	5	0	3	4	2	16	1	4	2	4	2	0	0	2	0	3	1	0	21	2	0	5	0	7	4	5	0	1	4	5	1	0	0	0	0	7	3	3	2	10	2	0	3	4	25	1	7	2	3	0	0	2	2	2	3	6	3	2	8	3	7	6	2	3	3	7	5	3	1	2	5	4	3	4	6	2	70	3	2	2	5	3	0	4	1	4	4	4	1	4	0	4	6	8	23	2	1	0	2	6	8	0	7	1	6	3	0	5	0	30	0	4	1	6	6	6	3	2	6	5	11	4	7	2	3
2:het:10Mb-40Mb	4	1	1	11	5	5	5	6	0	0	2	1	2	1	2	1	2	0	0	0	1	2	3	1	3	1	2	2	5	7	1	0	0	7	6	3	2	5	4	2	0	0	0	4	6	1	3	2	5	10	1	1	3	3	0	4	2	3	2	3	2	2	2	0	3	11	3	5	4	2	0	9	1	6	6	9	2	4	5	4	5	14	7	6	2	4	0	0	7	1	4	2	6	3	5	1	2	2	4	16	2	4	2	5	7	3	0	5	0	5	2	2	3	0	7	1	5	2	1	4	2	4	3	10	9	2	4	4	2	11
2:het:>40Mb	1	1	0	0	1	3	4	1	0	0	0	1	3	0	4	2	2	0	0	0	0	0	6	0	2	2	0	1	3	4	1	0	1	1	1	0	2	3	3	0	0	1	1	0	4	0	2	2	1	4	0	0	0	4	1	1	0	0	1	0	1	2	0	0	1	3	1	2	0	1	1	0	0	1	2	5	0	1	0	1	3	0	4	3	0	2	0	1	2	1	1	0	3	1	0	3	1	1	1	6	1	0	0	3	3	2	0	1	0	2	0	2	2	0	0	0	0	1	1	4	1	2	1	1	1	0	1	0	1	4
3-4:het:0-100kb	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0
3-4:het:100kb-1Mb	0	0	0	7	6	0	3	1	264	30	105	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	8	0	4	0	10	1	1	0	0	11	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	7	1	1	0	0	0	1	3	0	2	1	2	4	1	0	7	0	0	0	1	4	0	7	2	6	1	0	0	106	0	0	0	5	5	0	0	0	0	0	0	0	1	0	2
3-4:het:1Mb-10Mb	0	1	3	3	1	1	2	3	412	52	201	2	2	0	0	0	0	0	0	0	2	0	0	278	0	0	1	0	2	0	0	0	0	3	3	0	0	0	0	0	3	0	0	6	0	0	0	0	0	0	1	0	0	1	0	0	7	0	0	0	0	14	1	3	0	9	1	1	0	2	14	0	0	0	0	0	1	0	1	1	0	5	5	1	0	0	29	2	0	0	0	0	0	12	0	0	0	1	2	3	0	3	0	0	1	1	12	2	15	2	20	12	0	0	186	0	0	0	10	22	1	0	0	0	0	0	0	0	0	2
3-4:het:10Mb-40Mb	10	0	0	4	3	2	5	1	17	34	49	7	2	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	16	0	0	0	2	0	1	0	0	0	0	0	0	8	0	0	0	0	24	0	3	0	5	0	0	0	2	12	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	28	4	0	0	0	0	0	22	0	2	0	1	0	0	0	17	0	0	0	0	9	0	25	0	25	30	0	0	48	0	1	0	7	13	0	1	0	0	0	0	0	0	0	0
3-4:het:>40Mb	12	0	0	1	1	0	1	2	0	13	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	18	0	0	0	0	0	2	0	1	0	1	0	0	4	0	0	0	0	13	0	0	0	0	0	0	0	0	9	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	21	5	0	0	0	0	0	9	0	6	0	0	0	2	0	12	0	0	0	0	7	0	14	0	12	15	1	0	3	0	0	0	2	9	0	0	0	0	0	0	0	0	0	0
5-8:het:0-100kb	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
5-8:het:100kb-1Mb	0	0	1	0	0	0	0	0	220	4	11	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	2	0	2	1	0	0	17	0	0	0	0	4	1	0	1	0	1	0	0	0	0	1
5-8:het:1Mb-10Mb	0	0	0	0	0	0	0	0	168	9	20	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5	0	4	2	0	0	3	0	0	0	0	6	0	0	1	0	0	1	0	0	0	0
5-8:het:10Mb-40Mb	2	0	0	0	0	0	0	0	10	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
5-8:het:>40Mb	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:het:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
9+:het:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
9+:het:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
9+:het:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:het:>40Mb	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
